filename,method,musiq,maniqa,clipiqa
171.png,retinex,31.630165100097656,0.26285994052886963,0.551516056060791
171.png,hist_eq,44.2395133972168,0.353934109210968,0.3306185305118561
172.png,clahe,20.416610717773438,0.1387787014245987,0.2519384026527405
172.png,gamma,21.91683006286621,0.1650383323431015,0.34351107478141785
172.png,log,22.395217895507812,0.18573667109012604,0.24860988557338715
172.png,retinex,25.640884399414062,0.15899519622325897,0.63377445936203
172.png,hist_eq,18.82286834716797,0.21687562763690948,0.3548688590526581
173.png,clahe,43.015411376953125,0.36214175820350647,0.40882253646850586
173.png,gamma,42.78430938720703,0.3785492777824402,0.4180944561958313
173.png,log,46.85891342163086,0.431946337223053,0.4856025278568268
173.png,retinex,39.477874755859375,0.3317861258983612,0.5190602540969849
173.png,hist_eq,52.96338653564453,0.42304861545562744,0.48013266921043396
174.png,clahe,37.933494567871094,0.3284916877746582,0.3091292083263397
174.png,gamma,36.05494689941406,0.3552784025669098,0.35763558745384216
174.png,log,50.20905685424805,0.4255641996860504,0.3659991919994354
174.png,retinex,31.25565528869629,0.3366435468196869,0.4065456986427307
174.png,hist_eq,49.12000274658203,0.40512439608573914,0.47482654452323914
175.png,clahe,23.85101890563965,0.14184865355491638,0.2005494087934494
175.png,gamma,21.40259552001953,0.143153578042984,0.255637526512146
175.png,log,22.407915115356445,0.15059280395507812,0.27805283665657043
175.png,retinex,27.283729553222656,0.19449052214622498,0.6145156621932983
175.png,hist_eq,28.512954711914062,0.21621055901050568,0.2219884693622589
176.png,clahe,25.68434715270996,0.19095702469348907,0.23781315982341766
176.png,gamma,30.253463745117188,0.21845532953739166,0.28466662764549255
176.png,log,38.807945251464844,0.276030957698822,0.2542878985404968
176.png,retinex,35.854583740234375,0.23571144044399261,0.6472136974334717
176.png,hist_eq,38.98194122314453,0.2842768132686615,0.2692738473415375
18.png,clahe,55.275970458984375,0.48222267627716064,0.4501011073589325
18.png,gamma,53.86054229736328,0.46111586689949036,0.5863313674926758
18.png,log,61.40929412841797,0.5396947860717773,0.6142532229423523
18.png,retinex,40.752769470214844,0.37084144353866577,0.5363896489143372
18.png,hist_eq,53.711299896240234,0.45607563853263855,0.5674216151237488
180.png,clahe,31.49971580505371,0.2268943339586258,0.24874626100063324
180.png,gamma,33.10620880126953,0.2470460832118988,0.39136430621147156
180.png,log,35.04902267456055,0.2664634883403778,0.48870378732681274
180.png,retinex,44.37310028076172,0.24707013368606567,0.5798993110656738
180.png,hist_eq,33.9510612487793,0.20531831681728363,0.3248605728149414
183.png,clahe,32.51373291015625,0.22429275512695312,0.45215335488319397
183.png,gamma,37.22166442871094,0.24375496804714203,0.5390791893005371
183.png,log,41.32402801513672,0.25950565934181213,0.4634883999824524
183.png,retinex,38.774330139160156,0.3135927617549896,0.6965169310569763
183.png,hist_eq,34.29892349243164,0.27966052293777466,0.5688120126724243
184.png,clahe,41.089622497558594,0.3077346682548523,0.436629980802536
184.png,gamma,41.307838439941406,0.32899579405784607,0.6045691967010498
184.png,log,42.50922775268555,0.3471486568450928,0.6540243029594421
184.png,retinex,35.13447570800781,0.3375869691371918,0.6828129887580872
184.png,hist_eq,42.997833251953125,0.3266524374485016,0.625227153301239
185.png,clahe,42.553306579589844,0.31840816140174866,0.46957969665527344
185.png,gamma,44.20121765136719,0.3285004198551178,0.6048183441162109
185.png,log,44.36338806152344,0.3511866331100464,0.6448032259941101
185.png,retinex,36.19154739379883,0.3084793984889984,0.5432810187339783
185.png,hist_eq,44.04471969604492,0.32391586899757385,0.6019365787506104
186.png,clahe,48.084083557128906,0.395253449678421,0.5933117270469666
186.png,gamma,48.001060485839844,0.420910507440567,0.6418269872665405
186.png,log,46.91786193847656,0.4192710220813751,0.5892290472984314
186.png,retinex,46.345863342285156,0.3672652840614319,0.636509120464325
186.png,hist_eq,51.282127380371094,0.43414756655693054,0.6627705693244934
187.png,clahe,47.87236785888672,0.4008020758628845,0.5935012698173523
187.png,gamma,47.530784606933594,0.41200315952301025,0.6239870190620422
187.png,log,46.495994567871094,0.41318339109420776,0.5957266688346863
187.png,retinex,44.28784942626953,0.3420214354991913,0.6546744704246521
187.png,hist_eq,50.205440521240234,0.41545814275741577,0.6197320222854614
188.png,clahe,34.2218132019043,0.21854618191719055,0.2264176607131958
188.png,gamma,35.701515197753906,0.26724010705947876,0.34891772270202637
188.png,log,49.44093322753906,0.3123081922531128,0.3073313236236572
188.png,retinex,49.93330764770508,0.3261277377605438,0.5032293200492859
188.png,hist_eq,42.97212219238281,0.2956746220588684,0.3204537332057953
189.png,clahe,42.90610122680664,0.364952027797699,0.2562909722328186
189.png,gamma,45.27101135253906,0.38978418707847595,0.28639113903045654
189.png,log,54.233924865722656,0.43312230706214905,0.38732632994651794
189.png,retinex,46.00214385986328,0.3578404188156128,0.4412902295589447
189.png,hist_eq,51.71692657470703,0.3964940905570984,0.35084304213523865
191.png,clahe,46.035118103027344,0.3719748556613922,0.31231147050857544
191.png,gamma,46.98625946044922,0.4164046049118042,0.44784578680992126
191.png,log,54.790000915527344,0.5141918659210205,0.5046789646148682
191.png,retinex,43.32207489013672,0.3303427994251251,0.5637621283531189
191.png,hist_eq,48.65512466430664,0.4227379858493805,0.4475196897983551
193.png,clahe,53.57607650756836,0.4999111592769623,0.6495742797851562
193.png,gamma,50.763526916503906,0.5247915387153625,0.5523695349693298
193.png,log,56.08375930786133,0.5675763487815857,0.6581012606620789
193.png,retinex,41.13954544067383,0.43671488761901855,0.39449530839920044
193.png,hist_eq,55.87608337402344,0.50847989320755,0.6391822099685669
194.png,clahe,38.53676986694336,0.327413946390152,0.5161864161491394
194.png,gamma,40.1513671875,0.35890451073646545,0.6549960970878601
194.png,log,45.05537414550781,0.40760987997055054,0.7165912985801697
194.png,retinex,41.73075485229492,0.4011367857456207,0.6228518486022949
194.png,hist_eq,46.33059310913086,0.3999606966972351,0.538896381855011
195.png,clahe,31.755191802978516,0.2426079660654068,0.31541380286216736
195.png,gamma,28.39098358154297,0.2650125026702881,0.47162890434265137
195.png,log,37.38358688354492,0.31072044372558594,0.36540937423706055
195.png,retinex,44.273353576660156,0.3307386338710785,0.5693041086196899
195.png,hist_eq,34.36138916015625,0.3165910542011261,0.2861173748970032
196.png,clahe,25.522245407104492,0.20417991280555725,0.3619656264781952
196.png,gamma,27.208616256713867,0.26654598116874695,0.5419904589653015
196.png,log,36.45372772216797,0.3238932192325592,0.5545971393585205
196.png,retinex,33.65168762207031,0.2839633524417877,0.6312288641929626
196.png,hist_eq,36.924102783203125,0.3050107955932617,0.3447926938533783
198.png,clahe,39.669761657714844,0.4003458321094513,0.601205050945282
198.png,gamma,34.583160400390625,0.42738059163093567,0.46066543459892273
