filename,method,clipiqa_plus
221.png,log,0.656769871711731
221.png,retinex,0.5733500123023987
221.png,hist_eq,0.6300787925720215
222.png,clahe,0.5230161547660828
222.png,gamma,0.5541601777076721
222.png,log,0.5863687992095947
222.png,retinex,0.4706368148326874
222.png,hist_eq,0.5789664387702942
225.png,clahe,0.5305640697479248
225.png,gamma,0.6003151535987854
225.png,log,0.6512173414230347
225.png,retinex,0.5155360698699951
225.png,hist_eq,0.6571304798126221
227.png,clahe,0.23771414160728455
227.png,gamma,0.31865349411964417
227.png,log,0.4098309874534607
227.png,retinex,0.30576372146606445
227.png,hist_eq,0.2893508970737457
228.png,clahe,0.27266183495521545
228.png,gamma,0.35005632042884827
228.png,log,0.35622528195381165
228.png,retinex,0.34320783615112305
228.png,hist_eq,0.27084168791770935
229.png,clahe,0.28526735305786133
229.png,gamma,0.40874502062797546
229.png,log,0.4423019587993622
229.png,retinex,0.34002578258514404
229.png,hist_eq,0.3304348886013031
230.png,clahe,0.5006787776947021
230.png,gamma,0.5706636309623718
230.png,log,0.6532796025276184
230.png,retinex,0.5468050241470337
230.png,hist_eq,0.5391111969947815
231.png,clahe,0.3267323672771454
231.png,gamma,0.34511780738830566
231.png,log,0.36131036281585693
